# frequency value
3.175000000000000000e+01 7.167643792945557370e-47
3.187500000000000000e+01 7.076337053645857623e-47
3.200000000000000000e+01 6.986931641639997804e-47
3.212500000000000000e+01 6.899380112340286044e-47
3.225000000000000000e+01 6.813636388414850694e-47
3.237500000000000000e+01 6.729655715192812755e-47
3.250000000000000000e+01 6.647394617691893687e-47
3.262500000000000000e+01 6.566810859203222902e-47
3.275000000000000000e+01 6.487863401371201353e-47
3.287500000000000000e+01 6.410512365708904867e-47
3.300000000000000000e+01 6.334718996492070112e-47
3.312500000000000000e+01 6.260445624977253611e-47
3.325000000000000000e+01 6.187655634892025658e-47
3.337500000000000000e+01 6.116313429147351775e-47
3.350000000000000000e+01 6.046384397724414687e-47
3.362500000000000000e+01 5.977834886690204721e-47
3.375000000000000000e+01 5.910632168298106533e-47
3.387500000000000000e+01 5.844744412131578910e-47
3.400000000000000000e+01 5.780140657250829052e-47
3.412500000000000000e+01 5.716790785304004635e-47
3.425000000000000000e+01 5.654665494566074105e-47
3.437500000000000000e+01 5.593736274870099986e-47
3.450000000000000000e+01 5.533975383397088015e-47
3.462500000000000000e+01 5.475355821291966818e-47
3.475000000000000000e+01 5.417851311074600581e-47
3.487500000000000000e+01 5.361436274816040071e-47
3.500000000000000000e+01 5.306085813051420177e-47
3.512500000000000000e+01 5.251775684402055605e-47
3.525000000000000000e+01 5.198482285880455134e-47
3.537500000000000000e+01 5.146182633853003571e-47
3.550000000000000000e+01 5.094854345636067904e-47
3.562500000000000000e+01 5.044475621702324554e-47
3.575000000000000000e+01 4.995025228474929174e-47
3.587500000000000000e+01 4.946482481688180180e-47
3.600000000000000000e+01 4.898827230294040866e-47
3.612500000000000000e+01 4.852039840894786344e-47
3.625000000000000000e+01 4.806101182682838879e-47
3.637500000000000000e+01 4.760992612869496907e-47
3.650000000000000000e+01 4.716695962585107054e-47
3.662500000000000000e+01 4.673193523233829370e-47
3.675000000000000000e+01 4.630468033286828564e-47
3.687500000000000000e+01 4.588502665498357061e-47
3.700000000000000000e+01 4.547281014529773230e-47
3.712500000000000000e+01 4.506787084967183812e-47
3.725000000000000000e+01 4.467005279718831258e-47
3.737500000000000000e+01 4.427920388778994318e-47
3.750000000000000000e+01 4.389517578345631061e-47
3.762500000000000000e+01 4.351782380279446169e-47
3.775000000000000000e+01 4.314700681892591848e-47
3.787500000000000000e+01 4.278258716055639979e-47
3.800000000000000000e+01 4.242443051611818088e-47
3.812500000000000000e+01 4.207240584088073907e-47
3.825000000000000000e+01 4.172638526692755974e-47
3.837500000000000000e+01 4.138624401590168818e-47
3.850000000000000000e+01 4.105186031442634189e-47
3.862500000000000000e+01 4.072311531210979035e-47
3.875000000000000000e+01 4.039989300204752108e-47
3.887500000000000000e+01 4.008208014373775914e-47
3.900000000000000000e+01 3.976956618832943107e-47
3.912500000000000000e+01 3.946224320612484882e-47
3.925000000000000000e+01 3.916000581626210198e-47
3.937500000000000000e+01 3.886275111850430052e-47
3.950000000000000000e+01 3.857037862706703968e-47
3.962500000000000000e+01 3.828279020641589173e-47
3.975000000000000000e+01 3.799989000896963771e-47
3.987500000000000000e+01 3.772158441464711129e-47
4.000000000000000000e+01 3.744778197219667874e-47
4.012500000000000000e+01 3.717839334225120072e-47
4.025000000000000000e+01 3.691333124205188997e-47
4.037500000000000000e+01 3.665251039178726030e-47
4.050000000000000000e+01 3.639584746249524843e-47
4.062500000000000000e+01 3.614326102547810214e-47
4.075000000000000000e+01 3.589467150318145162e-47
4.087500000000000000e+01 3.565000112149112951e-47
4.100000000000000000e+01 3.540917386340231169e-47
4.112500000000000000e+01 3.517211542401738849e-47
4.125000000000000000e+01 3.493875316683084785e-47
4.137500000000000000e+01 3.470901608126004012e-47
4.150000000000000000e+01 3.448283474138316904e-47
4.162500000000000000e+01 3.426014126584623224e-47
4.175000000000000000e+01 3.404086927890255068e-47
4.187500000000000000e+01 3.382495387254957109e-47
4.200000000000000000e+01 3.361233156972878806e-47
4.212500000000000000e+01 3.340294028855595916e-47
4.225000000000000000e+01 3.319671930754945772e-47
4.237500000000000000e+01 3.299360923182648917e-47
4.250000000000000000e+01 3.279355196023708184e-47
4.262500000000000000e+01 3.259649065340725048e-47
4.275000000000000000e+01 3.240236970266367914e-47
4.287500000000000000e+01 3.221113469981291149e-47
4.300000000000000000e+01 3.202273240774909192e-47
4.312500000000000000e+01 3.183711073186553057e-47
4.325000000000000000e+01 3.165421869224539966e-47
4.337500000000000000e+01 3.147400639660833159e-47
4.350000000000000000e+01 3.129642501399026827e-47
4.362500000000000000e+01 3.112142674913458151e-47
4.375000000000000000e+01 3.094896481757318008e-47
4.387500000000000000e+01 3.077899342137717905e-47
4.400000000000000000e+01 3.061146772555729094e-47
4.412500000000000000e+01 3.044634383509457908e-47
4.425000000000000000e+01 3.028357877258321049e-47
4.437500000000000000e+01 3.012313045646691849e-47
4.450000000000000000e+01 2.996495767985210055e-47
4.462500000000000000e+01 2.980902008988043820e-47
4.475000000000000000e+01 2.965527816764479095e-47
4.487500000000000000e+01 2.950369320863269021e-47
4.500000000000000000e+01 2.935422730368193859e-47
4.512500000000000000e+01 2.920684332043365192e-47
4.525000000000000000e+01 2.906150488526834814e-47
4.537500000000000000e+01 2.891817636571126130e-47
4.550000000000000000e+01 2.877682285329326780e-47
4.562500000000000000e+01 2.863741014685459958e-47
4.575000000000000000e+01 2.849990473627859202e-47
4.587500000000000000e+01 2.836427378664321978e-47
4.600000000000000000e+01 2.823048512277875242e-47
4.612500000000000000e+01 2.809850721421969159e-47
4.625000000000000000e+01 2.796830916054041053e-47
4.637500000000000000e+01 2.783986067706306117e-47
4.650000000000000000e+01 2.771313208092786979e-47
4.662500000000000000e+01 2.758809427751535873e-47
4.675000000000000000e+01 2.746471874721075135e-47
4.687500000000000000e+01 2.734297753250105062e-47
4.700000000000000000e+01 2.722284322539562209e-47
4.712500000000000000e+01 2.710428895516124822e-47
4.725000000000000000e+01 2.698728837636294186e-47
4.737500000000000000e+01 2.687181565720221001e-47
4.750000000000000000e+01 2.675784546814450807e-47
4.762500000000000000e+01 2.664535297082812006e-47
4.775000000000000000e+01 2.653431380724644817e-47
4.787500000000000000e+01 2.642470408919673954e-47
4.800000000000000000e+01 2.631650038798750107e-47
4.812500000000000000e+01 2.620967972439802882e-47
4.825000000000000000e+01 2.610421955888302226e-47
4.837500000000000000e+01 2.600009778201566141e-47
4.850000000000000000e+01 2.589729270516275885e-47
4.862500000000000000e+01 2.579578305138590912e-47
4.875000000000000000e+01 2.569554794656238849e-47
4.887500000000000000e+01 2.559656691071999994e-47
4.900000000000000000e+01 2.549881984958030171e-47
4.912500000000000000e+01 2.540228704630447761e-47
4.925000000000000000e+01 2.530694915343668114e-47
4.937500000000000000e+01 2.521278718503944223e-47
4.950000000000000000e+01 2.511978250901633819e-47
4.962500000000000000e+01 2.502791683961673154e-47
4.975000000000000000e+01 2.493717223011790760e-47
4.987500000000000000e+01 2.484753106568020212e-47
5.000000000000000000e+01 2.475897605637014063e-47
5.012500000000000000e+01 2.467149023034767097e-47
5.025000000000000000e+01 2.458505692721294795e-47
5.037500000000000000e+01 2.449965979150875195e-47
5.050000000000000000e+01 2.441528276637417034e-47
5.062500000000000000e+01 2.433191008734626036e-47
5.075000000000000000e+01 2.424952627630510879e-47
5.087500000000000000e+01 2.416811613555940038e-47
5.100000000000000000e+01 2.408766474206821206e-47
5.112500000000000000e+01 2.400815744179614008e-47
5.125000000000000000e+01 2.392957984419791939e-47
5.137500000000000000e+01 2.385191781682954031e-47
5.150000000000000000e+01 2.377515748008249835e-47
5.162500000000000000e+01 2.369928520203818214e-47
5.175000000000000000e+01 2.362428759343930768e-47
5.187500000000000000e+01 2.355015150277543780e-47
5.200000000000000000e+01 2.347686401147979162e-47
5.212500000000000000e+01 2.340441242923450945e-47
5.225000000000000000e+01 2.333278428938172835e-47
5.237500000000000000e+01 2.326196734443777997e-47
5.250000000000000000e+01 2.319194956170791915e-47
5.262500000000000000e+01 2.312271911899924013e-47
5.275000000000000000e+01 2.305426440042914994e-47
5.287500000000000000e+01 2.298657399232725039e-47
5.300000000000000000e+01 2.291963667922816832e-47
5.312500000000000000e+01 2.285344143995320976e-47
5.325000000000000000e+01 2.278797744377853823e-47
5.337500000000000000e+01 2.272323404668802016e-47
5.350000000000000000e+01 2.265920078770829183e-47
5.362500000000000000e+01 2.259586738532445819e-47
5.375000000000000000e+01 2.253322373397415780e-47
5.387500000000000000e+01 2.247125990061820992e-47
5.400000000000000000e+01 2.240996612138608831e-47
5.412500000000000000e+01 2.234933279829424822e-47
5.425000000000000000e+01 2.228935049603573109e-47
5.437500000000000000e+01 2.223000993883911225e-47
5.450000000000000000e+01 2.217130200739539115e-47
5.462500000000000000e+01 2.211321773585111794e-47
5.475000000000000000e+01 2.205574830886598169e-47
5.487500000000000000e+01 2.199888505873361079e-47
5.500000000000000000e+01 2.194261946256401042e-47
5.512500000000000000e+01 2.188694313952602054e-47
5.525000000000000000e+01 2.183184784814862993e-47
5.537500000000000000e+01 2.177732548367951039e-47
5.550000000000000000e+01 2.172336807549963103e-47
5.562500000000000000e+01 2.166996778459257917e-47
5.575000000000000000e+01 2.161711690106719008e-47
5.587500000000000000e+01 2.156480784173246955e-47
5.600000000000000000e+01 2.151303314772330938e-47
5.612500000000000000e+01 2.146178548217614011e-47
5.625000000000000000e+01 2.141105762795313056e-47
5.637500000000000000e+01 2.136084248541376986e-47
5.650000000000000000e+01 2.131113307023305879e-47
5.662500000000000000e+01 2.126192251126486915e-47
5.675000000000000000e+01 2.121320404844968089e-47
5.687500000000000000e+01 2.116497103076545988e-47
5.700000000000000000e+01 2.111721691422108066e-47
5.712500000000000000e+01 2.106993525989077008e-47
5.725000000000000000e+01 2.102311973198918034e-47
5.737500000000000000e+01 2.097676409598576920e-47
5.750000000000000000e+01 2.093086221675783095e-47
5.762500000000000000e+01 2.088540805678119112e-47
5.775000000000000000e+01 2.084039567435777997e-47
5.787500000000000000e+01 2.079581922187920943e-47
5.800000000000000000e+01 2.075167294412559033e-47
5.812500000000000000e+01 2.070795117659870994e-47
5.825000000000000000e+01 2.066464834388892069e-47
5.837500000000000000e+01 2.062175895807494043e-47
5.850000000000000000e+01 2.057927761715575953e-47
5.862500000000000000e+01 2.053719900351403985e-47
5.875000000000000000e+01 2.049551788241033952e-47
5.887500000000000000e+01 2.045422910050726892e-47
5.900000000000000000e+01 2.041332758442319880e-47
5.912500000000000000e+01 2.037280833931465002e-47
5.925000000000000000e+01 2.033266644748686933e-47
5.937500000000000000e+01 2.029289706703190057e-47
5.950000000000000000e+01 2.025349543049357042e-47
5.962500000000000000e+01 2.021445684355879078e-47
5.975000000000000000e+01 2.017577668377464033e-47
5.987500000000000000e+01 2.013745039929064946e-47
6.000000000000000000e+01 2.009947350762567087e-47
6.012500000000000000e+01 2.006184159445893000e-47
6.025000000000000000e+01 2.002455031244465004e-47
6.037500000000000000e+01 1.998759538004971906e-47
6.050000000000000000e+01 1.995097258041403957e-47
6.062500000000000000e+01 1.991467776023281908e-47
6.075000000000000000e+01 1.987870682866071896e-47
6.087500000000000000e+01 1.984305575623689907e-47
6.100000000000000000e+01 1.980772057383103101e-47
6.112500000000000000e+01 1.977269737160939028e-47
6.125000000000000000e+01 1.973798229802094971e-47
6.137500000000000000e+01 1.970357155880269116e-47
6.150000000000000000e+01 1.966946141600416008e-47
6.162500000000000000e+01 1.963564818703049946e-47
6.175000000000000000e+01 1.960212824370364960e-47
6.187500000000000000e+01 1.956889801134151932e-47
6.200000000000000000e+01 1.953595396785449896e-47
6.212500000000000000e+01 1.950329264285915956e-47
6.225000000000000000e+01 1.947091061680857920e-47
6.237500000000000000e+01 1.943880452013917002e-47
6.250000000000000000e+01 1.940697103243345904e-47
6.262500000000000000e+01 1.937540688159865013e-47
6.275000000000000000e+01 1.934410884306046887e-47
6.287500000000000000e+01 1.931307373897222943e-47
6.300000000000000000e+01 1.928229843743852071e-47
6.312500000000000000e+01 1.925177985175339018e-47
6.325000000000000000e+01 1.922151493965270937e-47
6.337500000000000000e+01 1.919150070258036120e-47
6.350000000000000000e+01 1.916173418496797952e-47
6.362500000000000000e+01 1.913221247352815064e-47
6.375000000000000000e+01 1.910293269656039889e-47
6.387500000000000000e+01 1.907389202327013102e-47
6.400000000000000000e+01 1.904508766310001946e-47
6.412500000000000000e+01 1.901651686507359085e-47
6.425000000000000000e+01 1.898817691715091060e-47
6.437500000000000000e+01 1.896006514559595019e-47
6.450000000000000000e+01 1.893217891435551080e-47
6.462500000000000000e+01 1.890451562444941886e-47
6.475000000000000000e+01 1.887707271337185011e-47
6.487500000000000000e+01 1.884984765450338102e-47
6.500000000000000000e+01 1.882283795653372883e-47
6.512500000000000000e+01 1.879604116289495880e-47
6.525000000000000000e+01 1.876945485120482088e-47
6.537500000000000000e+01 1.874307663272004086e-47
6.550000000000000000e+01 1.871690415179956095e-47
6.562500000000000000e+01 1.869093508537728997e-47
6.575000000000000000e+01 1.866516714244429986e-47
6.587500000000000000e+01 1.863959806354015978e-47
6.600000000000000000e+01 1.861422562025353921e-47
6.612500000000000000e+01 1.858904761473145989e-47
6.625000000000000000e+01 1.856406187919736959e-47
6.637500000000000000e+01 1.853926627547767992e-47
6.650000000000000000e+01 1.851465869453672000e-47
6.662500000000000000e+01 1.849023705601991118e-47
6.675000000000000000e+01 1.846599930780480084e-47
6.687500000000000000e+01 1.844194342556023948e-47
6.700000000000000000e+01 1.841806741231307903e-47
6.712500000000000000e+01 1.839436929802252103e-47
6.725000000000000000e+01 1.837084713916195912e-47
6.737500000000000000e+01 1.834749901830800002e-47
6.750000000000000000e+01 1.832432304373668940e-47
6.762500000000000000e+01 1.830131734902672912e-47
6.775000000000000000e+01 1.827848009266963929e-47
6.787500000000000000e+01 1.825580945768653967e-47
6.800000000000000000e+01 1.823330365125163047e-47
6.812500000000000000e+01 1.821096090432218069e-47
6.825000000000000000e+01 1.818877947127479036e-47
6.837500000000000000e+01 1.816675762954800962e-47
6.850000000000000000e+01 1.814489367929094986e-47
6.862500000000000000e+01 1.812318594301809106e-47
6.875000000000000000e+01 1.810163276526969970e-47
6.887500000000000000e+01 1.808023251227839904e-47
6.900000000000000000e+01 1.805898357164108988e-47
6.912500000000000000e+01 1.803788435199659101e-47
6.925000000000000000e+01 1.801693328270874923e-47
6.937500000000000000e+01 1.799612881355486072e-47
6.950000000000000000e+01 1.797546941441936014e-47
6.962500000000000000e+01 1.795495357499271904e-47
6.975000000000000000e+01 1.793457980447535923e-47
6.987500000000000000e+01 1.791434663128655901e-47
7.000000000000000000e+01 1.789425260277824071e-47
7.012500000000000000e+01 1.787429628495351048e-47
7.025000000000000000e+01 1.785447626218997967e-47
7.037500000000000000e+01 1.783479113696763912e-47
7.050000000000000000e+01 1.781523952960126954e-47
7.062500000000000000e+01 1.779582007797723958e-47
7.075000000000000000e+01 1.777653143729485928e-47
7.087500000000000000e+01 1.775737227981176884e-47
7.100000000000000000e+01 1.773834129459371020e-47
7.112500000000000000e+01 1.771943718726832898e-47
7.125000000000000000e+01 1.770065867978312106e-47
7.137500000000000000e+01 1.768200451016723943e-47
7.150000000000000000e+01 1.766347343229731913e-47
7.162500000000000000e+01 1.764506421566706045e-47
7.175000000000000000e+01 1.762677564516059931e-47
7.187500000000000000e+01 1.760860652082966987e-47
7.200000000000000000e+01 1.759055565767417029e-47
7.212500000000000000e+01 1.757262188542654013e-47
7.225000000000000000e+01 1.755480404833950932e-47
7.237500000000000000e+01 1.753710100497728928e-47
7.250000000000000000e+01 1.751951162801019883e-47
7.262500000000000000e+01 1.750203480401252068e-47
